港台频道,#genre#
亚洲旅游台 HD,http://ali.hlspull.yximgs.com/live/TmVnDYezp6UTyZP9yKgcze4qw5Jy9T4Q.flv
天映频道 HD,http://ali.hlspull.yximgs.com/live/BfK9GxW5tvDgwqqDpfWGJYwtA6Fr0Rwg.flv
动物星球 FHD,http://ali.hlspull.yximgs.com/live/wB65tQuHD1XMyJCacvpYmFDMBYTsZw2u.flv
CI罪案侦缉 HD,http://ali.hlspull.yximgs.com/live/DnTDCtoU9puMnxiGSciLYyqZl4Y8zcbK.flv
探索亚洲 HD,http://ali.hlspull.yximgs.com/live/22gyO7LOcoaxFE4samfnGFtITMH7LCKP.flv
国家地理高清 HD,http://ali.hlspull.yximgs.com/live/EmaQNh3ZQwFtd3PJYb9nWKVhMP2xbhFZ.flv
历史频道 HD,http://ali.hlspull.yximgs.com/live/M5Y7XvgzbNs61s7hg6OTh460p3MlV0W5.flv
好莱坞电影 FHD,http://ali.hlspull.yximgs.com/live/bQ8HTF38zo3OQ9kK4gSkBqOmWhUWH66C.flv
TLC旅游生活 HD,http://ali.hlspull.yximgs.com/live/7dGJVvZFdKVaMN4U1nC9yPlMOmgXK0dq.flv
民视新闻台 FHD,http://ali.hlspull.yximgs.com/live/yw3A65jxd833rqcxHjUNIJGF9vmsYfEy.flv
中天新闻2 FHD,http://ali.hlspull.yximgs.com/live/nIJgyNkWYYhZk1NhV0xumfa8yHO2dGlU.flv
MTV Live HD,http://ali.hlspull.yximgs.com/live/5Sho22EGlrhV6OCnPfgrJncOfpQB6Bhi.flv
探索频道 FHD,http://ali.hlspull.yximgs.com/live/kGaVRgZqEK7TAFaXyPXBNDDM1bNJNAGf.flv
东森新闻 FHD,http://ali.hlspull.yximgs.com/live/wB89LJLiKumj1uxg0z0mdcsiLiq2JKwL.flv
sky news FHD,http://ali.hlspull.yximgs.com/live/CYlOchOZTxdntrVObR9MGfvQhQlUq9mr.flv
台视新闻 FHD,http://ali.hlspull.yximgs.com/live/OdehsAmKcariZ5u2PkZdWCSwJ4SYWXPo.flv
BBC earth HD,http://ali.hlspull.yximgs.com/live/2nwTqqYCtUTbyT0BsXjcYhh90czONKcI.flv
BBC lifestyle HD,http://ali.hlspull.yximgs.com/live/XETFmfaOlTrI1sE3SCxWwkhsvOoIqxSF.flv
Thrill恐怖台,http://ali.hlspull.yximgs.com/live/Tb697JaKaXlECGJma1lzOzglOD975DWo.flv
tvN Movies HD,http://ali.hlspull.yximgs.com/live/uEVm0CAxVLzS80nAIZYzF3EGws7owtjR.flv
TVBS新闻台 HD,http://ali.hlspull.yximgs.com/live/83eBkqmaFnLKllfxDwtX1SkppnZIhFTY.flv
HGTV HD,http://ali.hlspull.yximgs.com/live/RXSJArD29Jbeg7gS8PEjAbsmq1k97R4C.flv
寰宇新闻台 FHD,http://ali.hlspull.yximgs.com/live/GK5j6mSOZVoTLXhgBHh7CxHEbkAZQRa0.flv
非凡新闻 HD,http://ali.hlspull.yximgs.com/live/sGghLTC82Fkx0OVXT0jTKy3bOhdqxYH8.flv
TVBS FHD,http://ali.hlspull.yximgs.com/live/zCVFH0Yo1JDTpchSfDkFD3FXa39TTLIo.flv
中天新闻 FHD,http://ali.hlspull.yximgs.com/live/WBmExzaipbylHF1dZRaTR3urmLtbAUMB.flv
探索科学 FHD,http://ali.hlspull.yximgs.com/live/Sycxd8voVapVj7waJpzDdYv3awr8PZfv.flv
CNN HD,http://ali.hlspull.yximgs.com/live/K6avSNJgwsK8FzzfumvR8NqSp97JLrdw.flv
中视新闻 FHD,http://ali.hlspull.yximgs.com/live/Lf0kF8abfPUVLtv6lNpxQjdoCUZItIQn.flv
壹新闻 HD,http://ali.hlspull.yximgs.com/live/INyS168qmZRk1deZKiCwGvJZ6aCfnBC1.flv
镜新闻 FHD,http://ali.hlspull.yximgs.com/live/naIgR9fnv2PnMBAdG92Eh1rO5Y22c3TW.flv
CNBC FHD,http://ali.hlspull.yximgs.com/live/lkBt794Gbc9o41mvS4t8T4sB7rEuqfdr.flv
SONY PIX FHD,http://ali.hlspull.yximgs.com/live/IFd63Eg1V3fpWtjrrfZzKASqnrWiqK6R.flv
CBS News HD,http://ali.hlspull.yximgs.com/live/O8wL7OIfwMDFRHxdKquXYmh4P6qMU7E2.flv
